,10분우량,대여건수
2022-12-10,0.0," 72,960 "
2022-08-18,0.0," 162,179 "
2022-12-18,0.0," 25,468 "
2022-08-21,0.0," 122,389 "
2022-08-24,0.0," 174,857 "
2022-08-26,0.0," 177,282 "
2022-12-14,0.0," 54,486 "
2022-08-28,0.0," 160,420 "
2022-09-01,0.0," 179,336 "
2022-12-11,0.0," 60,129 "
2022-11-17,0.0," 148,576 "
2022-09-14,0.0," 179,633 "
2022-09-30,0.0," 192,638 "
2022-10-21,0.0," 167,708 "
2022-10-19,0.0," 159,650 "
2022-10-18,0.0," 152,318 "
2022-10-17,0.0," 149,615 "
2022-10-16,0.0," 134,682 "
2022-10-15,0.0," 160,508 "
2022-10-14,0.0," 180,404 "
2022-10-13,0.0," 175,695 "
2022-10-12,0.0," 171,262 "
2022-10-11,0.0," 157,516 "
2022-09-21,0.0," 191,553 "
2022-09-22,0.0," 189,285 "
2022-10-08,0.0," 166,740 "
2022-10-07,0.0," 181,964 "
2022-09-24,0.0," 176,719 "
2022-09-25,0.0," 162,743 "
2022-09-26,0.0," 187,571 "
2022-09-27,0.0," 190,672 "
2022-09-28,0.0," 191,600 "
2022-07-02,0.0," 131,815 "
2022-10-20,0.0," 163,096 "
2022-10-22,0.0," 146,898 "
2022-11-14,0.0," 141,077 "
2022-10-23,0.0," 124,544 "
2022-11-13,0.0," 87,874 "
2022-09-19,0.0," 183,189 "
2022-11-09,0.0," 157,102 "
2022-11-08,0.0," 157,941 "
2022-11-07,0.0," 146,674 "
2022-11-06,0.0," 106,962 "
2022-11-05,0.0," 109,291 "
2022-11-04,0.0," 127,701 "
2022-11-03,0.0," 146,670 "
2022-11-02,0.0," 161,139 "
2022-11-01,0.0," 162,918 "
2022-10-31,0.0," 160,105 "
2022-10-30,0.0," 126,689 "
2022-10-29,0.0," 146,310 "
2022-10-28,0.0," 167,013 "
2022-10-27,0.0," 163,519 "
2022-10-26,0.0," 163,030 "
2022-10-25,0.0," 157,819 "
2022-10-24,0.0," 147,964 "
2022-10-01,0.0," 167,146 "
